,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",70,6.763285,young / sun,m,sun,38,1062.836,General Electric RTI_Liz McDonough_undefined
1,T-Killer,29,2.801932,young / sun,m,sun,38,,General Electric RTI_Liz McDonough_undefined
2,T-reg,110,10.628019,young / sun,m,sun,38,,General Electric RTI_Liz McDonough_undefined
3,T-helper,826,79.806763,young / sun,m,sun,38,,General Electric RTI_Liz McDonough_undefined
