,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",106,11.434735,old / non,f,non,53,312.117,General Electric RTI_Liz McDonough_undefined
1,T-Killer,13,1.402373,old / non,f,non,53,,General Electric RTI_Liz McDonough_undefined
2,T-reg,85,9.169363,old / non,f,non,53,,General Electric RTI_Liz McDonough_undefined
3,T-helper,723,77.993527,old / non,f,non,53,,General Electric RTI_Liz McDonough_undefined
