,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",75,6.944444,old / non,m,non,53,1071.762,General Electric RTI_Liz McDonough_undefined
1,T-Killer,26,2.407407,old / non,m,non,53,,General Electric RTI_Liz McDonough_undefined
2,T-reg,10,0.925925,old / non,m,non,53,,General Electric RTI_Liz McDonough_undefined
3,T-helper,969,89.722222,old / non,m,non,53,,General Electric RTI_Liz McDonough_undefined
