"","cell_type","count"
"1","Alveolar fibroblasts",359
"2","AT1",2131
"3","AT2",1895
"4","B cells",4
"5","Basal resting",17
"6","CD4 T cells",1478
"7","CD8 T cells",1632
"8","Classical monocytes",2
"9","Club (non-nasal)",22
"10","DC2",3
"11","EC aerocyte capillary",12
"12","EC arterial",196
"13","EC general capillary",2577
"14","EC venous pulmonary",12
"15","EC venous systemic",1033
"16","Ionocyte",2
"17","Lymphatic EC mature",4
"18","Mast cells",30
"19","Multiciliated (non-nasal)",204
"20","Myofibroblasts",1
"21","Pericytes",98
"22","Plasma cells",3
"23","Plasmacytoid DCs",1
"24","Smooth muscle",147
"25","Transitional Club-AT2",133
