"","cell_type","count"
"1","Adventitial fibroblasts",10
"2","Alveolar fibroblasts",115
"3","AT1",715
"4","AT2",1262
"5","B cells",52
"6","Basal resting",2
"7","CD4 T cells",351
"8","CD8 T cells",2095
"9","Club (non-nasal)",1
"10","DC2",7
"11","EC aerocyte capillary",5
"12","EC arterial",446
"13","EC general capillary",1407
"14","EC venous pulmonary",14
"15","EC venous systemic",273
"16","Lymphatic EC mature",17
"17","Mast cells",22
"18","Monocyte-derived Mφ",2
"19","Multiciliated (non-nasal)",35
"20","Myofibroblasts",2
"21","Pericytes",62
"22","Plasma cells",16
"23","Smooth muscle",82
"24","Transitional Club-AT2",4
