"","cell_type","count"
"1","Adventitial fibroblasts",29
"2","Alveolar fibroblasts",182
"3","Alveolar macrophages",1
"4","AT1",521
"5","AT2",642
"6","B cells",103
"7","Basal resting",4
"8","CD4 T cells",628
"9","CD8 T cells",2142
"10","Classical monocytes",61
"11","Club (non-nasal)",18
"12","EC aerocyte capillary",12
"13","EC arterial",119
"14","EC general capillary",2599
"15","EC venous pulmonary",1
"16","EC venous systemic",396
"17","Goblet (nasal)",1
"18","Lymphatic EC mature",9
"19","Multiciliated (non-nasal)",272
"20","Myofibroblasts",24
"21","Pericytes",78
"22","Plasma cells",15
"23","SMG duct",2
"24","Smooth muscle",128
"25","Transitional Club-AT2",12
