"","cell_type","count"
"1","Adventitial fibroblasts",16
"2","Alveolar fibroblasts",84
"3","AT1",1251
"4","AT2",570
"5","B cells",24
"6","CD4 T cells",1917
"7","CD8 T cells",490
"8","Classical monocytes",2
"9","EC aerocyte capillary",37
"10","EC arterial",165
"11","EC general capillary",2279
"12","EC venous systemic",270
"13","Lymphatic EC mature",24
"14","Mast cells",11
"15","Multiciliated (non-nasal)",75
"16","NK cells",22
"17","Pericytes",131
"18","Plasma cells",12
"19","Smooth muscle",56
"20","Transitional Club-AT2",63
