"","cell_type","count"
"1","Alveolar fibroblasts",264
"2","AT1",1184
"3","AT2",849
"4","AT2 proliferating",5
"5","B cells",29
"6","Basal resting",1
"7","CD4 T cells",1312
"8","CD8 T cells",574
"9","Classical monocytes",3
"10","EC aerocyte capillary",94
"11","EC arterial",121
"12","EC general capillary",3675
"13","EC venous pulmonary",72
"14","EC venous systemic",379
"15","Ionocyte",1
"16","Lymphatic EC mature",48
"17","Mast cells",90
"18","Multiciliated (non-nasal)",29
"19","Myofibroblasts",3
"20","Pericytes",127
"21","Plasma cells",10
"22","Smooth muscle",95
"23","T cells proliferating",1
"24","Transitional Club-AT2",34
