"","cell_type","count"
"1","Alveolar fibroblasts",136
"2","AT1",1853
"3","AT2",784
"4","B cells",60
"5","Basal resting",53
"6","CD4 T cells",521
"7","CD8 T cells",2929
"8","Classical monocytes",1
"9","Club (non-nasal)",34
"10","EC aerocyte capillary",57
"11","EC arterial",82
"12","EC general capillary",4395
"13","EC venous pulmonary",4
"14","EC venous systemic",498
"15","Ionocyte",7
"16","Lymphatic EC differentiating",1
"17","Mast cells",20
"18","Monocyte-derived Mφ",1
"19","Multiciliated (non-nasal)",1168
"20","Myofibroblasts",23
"21","Non-classical monocytes",1
"22","Pericytes",135
"23","Plasma cells",10
"24","SMG duct",1
"25","Smooth muscle",155
"26","Transitional Club-AT2",68
