"","cell_type","count"
"1","Adventitial fibroblasts",55
"2","Alveolar fibroblasts",486
"3","Alveolar macrophages",56
"4","Alveolar Mφ proliferating",1
"5","AT1",1688
"6","AT2",2657
"7","AT2 proliferating",33
"8","B cells",63
"9","CD4 T cells",292
"10","CD8 T cells",2547
"11","Classical monocytes",42
"12","Club (nasal)",1
"13","Club (non-nasal)",14
"14","DC2",58
"15","EC aerocyte capillary",20
"16","EC arterial",481
"17","EC general capillary",2280
"18","EC venous pulmonary",25
"19","EC venous systemic",387
"20","Interstitial Mφ perivascular",1
"21","Ionocyte",2
"22","Lymphatic EC mature",47
"23","Mast cells",33
"24","Monocyte-derived Mφ",28
"25","Multiciliated (non-nasal)",320
"26","Myofibroblasts",26
"27","Peribronchial fibroblasts",17
"28","Pericytes",101
"29","Plasma cells",20
"30","Plasmacytoid DCs",5
"31","SMG serous (bronchial)",2
"32","Smooth muscle",192
"33","Transitional Club-AT2",19
