"","cell_type","count"
"1","Adventitial fibroblasts",17
"2","Alveolar fibroblasts",55
"3","AT1",293
"4","AT2",252
"5","AT2 proliferating",1
"6","B cells",39
"7","Basal resting",9
"8","CD4 T cells",1646
"9","CD8 T cells",131
"10","Club (non-nasal)",6
"11","DC2",2
"12","EC arterial",32
"13","EC general capillary",552
"14","EC venous systemic",418
"15","Multiciliated (non-nasal)",467
"16","Myofibroblasts",1
"17","Pericytes",32
"18","Smooth muscle",41
"19","Transitional Club-AT2",4
