"","cell_type","count"
"1","Adventitial fibroblasts",26
"2","Alveolar fibroblasts",338
"3","Alveolar macrophages",3
"4","AT1",1034
"5","AT2",645
"6","AT2 proliferating",8
"7","B cells",151
"8","Basal resting",18
"9","CD4 T cells",1543
"10","CD8 T cells",1480
"11","Classical monocytes",86
"12","Club (non-nasal)",68
"13","DC2",3
"14","EC aerocyte capillary",11
"15","EC arterial",1088
"16","EC general capillary",1632
"17","EC venous pulmonary",1
"18","EC venous systemic",861
"19","Ionocyte",7
"20","Lymphatic EC mature",24
"21","Mast cells",45
"22","Monocyte-derived Mφ",2
"23","Multiciliated (non-nasal)",514
"24","Myofibroblasts",2
"25","NK cells",2
"26","Peribronchial fibroblasts",1
"27","Pericytes",117
"28","Plasma cells",34
"29","Smooth muscle",151
"30","T cells proliferating",1
"31","Transitional Club-AT2",104
