"","cell_type","count"
"1","Adventitial fibroblasts",27
"2","Alveolar fibroblasts",186
"3","Alveolar macrophages",9
"4","AT1",882
"5","AT2",2687
"6","B cells",19
"7","Basal resting",23
"8","CD4 T cells",1368
"9","CD8 T cells",344
"10","Classical monocytes",48
"11","Club (non-nasal)",12
"12","DC2",2
"13","EC aerocyte capillary",63
"14","EC arterial",96
"15","EC general capillary",2066
"16","EC venous pulmonary",32
"17","EC venous systemic",31
"18","Ionocyte",1
"19","Lymphatic EC mature",49
"20","Mast cells",32
"21","Multiciliated (non-nasal)",87
"22","NK cells",1
"23","Pericytes",137
"24","Plasma cells",24
"25","Plasmacytoid DCs",2
"26","Smooth muscle",91
"27","Transitional Club-AT2",111
