"","cell_type","count"
"1","Adventitial fibroblasts",171
"2","Alveolar fibroblasts",622
"3","Alveolar macrophages",218
"4","AT1",896
"5","AT2",5724
"6","AT2 proliferating",98
"7","B cells",31
"8","Basal resting",4
"9","CD4 T cells",500
"10","CD8 T cells",149
"11","Classical monocytes",112
"12","DC2",4
"13","EC aerocyte capillary",101
"14","EC arterial",225
"15","EC general capillary",1163
"16","EC venous pulmonary",30
"17","EC venous systemic",133
"18","Interstitial Mφ perivascular",1
"19","Ionocyte",2
"20","Lymphatic EC mature",62
"21","Monocyte-derived Mφ",85
"22","Multiciliated (non-nasal)",123
"23","Myofibroblasts",2
"24","Non-classical monocytes",95
"25","Peribronchial fibroblasts",22
"26","Pericytes",149
"27","Plasma cells",13
"28","Smooth muscle",175
"29","T cells proliferating",6
"30","Transitional Club-AT2",83
