"","cell_type","count"
"1","Adventitial fibroblasts",21
"2","Alveolar fibroblasts",102
"3","Alveolar macrophages",3
"4","AT1",570
"5","AT2",859
"6","B cells",34
"7","Basal resting",9
"8","CD4 T cells",281
"9","CD8 T cells",1037
"10","Classical monocytes",2
"11","Club (non-nasal)",18
"12","EC aerocyte capillary",52
"13","EC arterial",12
"14","EC general capillary",1526
"15","EC venous pulmonary",1
"16","EC venous systemic",42
"17","Lymphatic EC mature",23
"18","Multiciliated (non-nasal)",56
"19","NK cells",1
"20","Pericytes",80
"21","Plasma cells",23
"22","Smooth muscle",61
"23","Suprabasal",1
"24","Transitional Club-AT2",85
