"","cell_type","count"
"1","Adventitial fibroblasts",61
"2","Alveolar fibroblasts",975
"3","Alveolar macrophages",37
"4","Alveolar Mφ proliferating",2
"5","AT1",1916
"6","AT2",2666
"7","AT2 proliferating",69
"8","B cells",64
"9","Basal resting",15
"10","CD4 T cells",1125
"11","CD8 T cells",1581
"12","Classical monocytes",121
"13","Club (nasal)",6
"14","Club (non-nasal)",28
"15","DC2",81
"16","EC aerocyte capillary",112
"17","EC arterial",282
"18","EC general capillary",2425
"19","EC venous pulmonary",16
"20","EC venous systemic",390
"21","Fibromyocytes",5
"22","Ionocyte",6
"23","Lymphatic EC mature",53
"24","Mast cells",42
"25","Monocyte-derived Mφ",61
"26","Multiciliated (non-nasal)",323
"27","Myofibroblasts",7
"28","Non-classical monocytes",8
"29","Peribronchial fibroblasts",41
"30","Pericytes",130
"31","Plasma cells",7
"32","Smooth muscle",259
"33","Suprabasal",9
"34","Transitional Club-AT2",75
