"","cell_type","count"
"1","Alveolar fibroblasts",398
"2","AT1",2613
"3","AT2",1141
"4","B cells",91
"5","Basal resting",649
"6","CD4 T cells",3688
"7","CD8 T cells",632
"8","Club (non-nasal)",30
"9","EC aerocyte capillary",30
"10","EC arterial",923
"11","EC general capillary",6051
"12","EC venous pulmonary",72
"13","EC venous systemic",845
"14","Ionocyte",10
"15","Lymphatic EC mature",40
"16","Multiciliated (non-nasal)",2184
"17","Pericytes",155
"18","Plasma cells",10
"19","Smooth muscle",354
"20","Suprabasal",1
"21","Transitional Club-AT2",83
