"","cell_type","count"
"1","Adventitial fibroblasts",116
"2","Alveolar fibroblasts",316
"3","Alveolar macrophages",23
"4","AT1",1120
"5","AT2",3301
"6","AT2 proliferating",40
"7","B cells",24
"8","Basal resting",118
"9","CD4 T cells",267
"10","CD8 T cells",1202
"11","Classical monocytes",5
"12","Club (non-nasal)",16
"13","DC2",30
"14","EC aerocyte capillary",47
"15","EC arterial",63
"16","EC general capillary",1395
"17","EC venous pulmonary",21
"18","EC venous systemic",352
"19","Ionocyte",3
"20","Lymphatic EC mature",54
"21","Mast cells",12
"22","Monocyte-derived Mφ",33
"23","Multiciliated (non-nasal)",185
"24","Myofibroblasts",5
"25","Non-classical monocytes",17
"26","Peribronchial fibroblasts",10
"27","Pericytes",49
"28","Plasma cells",1
"29","Smooth muscle",139
"30","Transitional Club-AT2",35
