"","cell_type","count"
"1","Adventitial fibroblasts",21
"2","Alveolar fibroblasts",331
"3","Alveolar macrophages",2
"4","AT1",1209
"5","AT2",2080
"6","AT2 proliferating",6
"7","B cells",107
"8","Basal resting",14
"9","CD4 T cells",1586
"10","CD8 T cells",2635
"11","Classical monocytes",8
"12","Club (nasal)",11
"13","Club (non-nasal)",57
"14","DC2",2
"15","EC arterial",45
"16","EC general capillary",2863
"17","EC venous pulmonary",14
"18","EC venous systemic",243
"19","Ionocyte",2
"20","Lymphatic EC mature",38
"21","Mast cells",49
"22","Multiciliated (non-nasal)",378
"23","Myofibroblasts",4
"24","Pericytes",107
"25","Plasma cells",6
"26","Plasmacytoid DCs",2
"27","Smooth muscle",164
"28","Transitional Club-AT2",16
