"","cell_type","count"
"1","Alveolar fibroblasts",136
"2","AT1",2666
"3","AT2",1086
"4","B cells",6
"5","Basal resting",9
"6","CD4 T cells",412
"7","CD8 T cells",2355
"8","Club (nasal)",3
"9","Club (non-nasal)",16
"10","DC2",6
"11","EC aerocyte capillary",4
"12","EC arterial",73
"13","EC general capillary",2299
"14","EC venous pulmonary",11
"15","EC venous systemic",330
"16","Goblet (nasal)",1
"17","Ionocyte",5
"18","Monocyte-derived Mφ",1
"19","Multiciliated (non-nasal)",336
"20","Myofibroblasts",5
"21","Pericytes",63
"22","Plasma cells",8
"23","SMG duct",6
"24","Smooth muscle",116
"25","Suprabasal",1
"26","Transitional Club-AT2",43
