"","cell_type","count"
"1","Adventitial fibroblasts",4
"2","Alveolar fibroblasts",19
"3","AT1",731
"4","AT2",120
"5","B cells",6
"6","Basal resting",116
"7","CD4 T cells",238
"8","CD8 T cells",727
"9","Club (nasal)",4
"10","Club (non-nasal)",45
"11","EC aerocyte capillary",11
"12","EC arterial",183
"13","EC general capillary",1695
"14","EC venous pulmonary",3
"15","EC venous systemic",227
"16","Goblet (nasal)",2
"17","Ionocyte",7
"18","Multiciliated (non-nasal)",1661
"19","Myofibroblasts",1
"20","Pericytes",35
"21","SMG duct",6
"22","SMG serous (bronchial)",14
"23","Smooth muscle",137
"24","Suprabasal",2
"25","Transitional Club-AT2",2
