"","cell_type","count"
"1","Adventitial fibroblasts",65
"2","Alveolar fibroblasts",203
"3","Alveolar macrophages",351
"4","AT1",1751
"5","AT2",2046
"6","B cells",45
"7","Basal resting",2
"8","CD4 T cells",1950
"9","CD8 T cells",536
"10","Classical monocytes",21
"11","Club (nasal)",3
"12","Club (non-nasal)",118
"13","DC2",5
"14","EC aerocyte capillary",1
"15","EC arterial",2
"16","EC general capillary",413
"17","EC venous systemic",36
"18","Goblet (nasal)",1
"19","Ionocyte",9
"20","Lymphatic EC mature",62
"21","Monocyte-derived Mφ",3
"22","Multiciliated (non-nasal)",418
"23","Myofibroblasts",1
"24","Pericytes",29
"25","Plasma cells",14
"26","Smooth muscle",13
"27","Transitional Club-AT2",103
