"","cell_type","count"
"1","Adventitial fibroblasts",1
"2","Alveolar fibroblasts",63
"3","AT1",1371
"4","AT2",1798
"5","B cells",532
"6","Basal resting",4
"7","CD4 T cells",243
"8","CD8 T cells",1534
"9","EC arterial",123
"10","EC general capillary",1754
"11","EC venous systemic",400
"12","Lymphatic EC mature",1
"13","Mast cells",12
"14","Multiciliated (non-nasal)",23
"15","Myofibroblasts",1
"16","Pericytes",78
"17","Plasma cells",10
"18","Smooth muscle",46
"19","Transitional Club-AT2",4
