"","cell_type","count"
"1","Adventitial fibroblasts",15
"2","Alveolar fibroblasts",175
"3","AT1",1504
"4","AT2",2633
"5","B cells",60
"6","CD4 T cells",1664
"7","CD8 T cells",2200
"8","Classical monocytes",18
"9","Club (non-nasal)",1
"10","EC general capillary",2225
"11","EC venous pulmonary",4
"12","EC venous systemic",100
"13","Ionocyte",22
"14","Lymphatic EC mature",17
"15","Mast cells",34
"16","Multiciliated (non-nasal)",140
"17","Myofibroblasts",3
"18","Pericytes",39
"19","Plasma cells",17
"20","Smooth muscle",92
"21","Transitional Club-AT2",33
