"","cell_type","count"
"1","Adventitial fibroblasts",202
"2","Alveolar fibroblasts",431
"3","AT1",2912
"4","AT2",345
"5","B cells",350
"6","Basal resting",183
"7","CD4 T cells",1902
"8","CD8 T cells",793
"9","Classical monocytes",55
"10","Club (non-nasal)",55
"11","DC2",1
"12","EC aerocyte capillary",52
"13","EC arterial",1036
"14","EC general capillary",1462
"15","EC venous pulmonary",8
"16","EC venous systemic",1451
"17","Ionocyte",27
"18","Lymphatic EC mature",93
"19","Mast cells",53
"20","Monocyte-derived Mφ",1
"21","Multiciliated (non-nasal)",129
"22","Myofibroblasts",6
"23","Pericytes",67
"24","Plasma cells",53
"25","SMG duct",6
"26","SMG serous (bronchial)",74
"27","Smooth muscle",250
