"","cell_type","count"
"1","Adventitial fibroblasts",20
"2","Alveolar fibroblasts",333
"3","Alveolar macrophages",2
"4","AT1",1934
"5","AT2",2446
"6","AT2 proliferating",2
"7","B cells",67
"8","Basal resting",14
"9","CD4 T cells",895
"10","CD8 T cells",2098
"11","Classical monocytes",51
"12","Club (non-nasal)",14
"13","DC2",1
"14","EC aerocyte capillary",51
"15","EC arterial",166
"16","EC general capillary",3268
"17","EC venous pulmonary",26
"18","EC venous systemic",140
"19","Lymphatic EC mature",62
"20","Mast cells",95
"21","Multiciliated (non-nasal)",111
"22","Myofibroblasts",2
"23","NK cells",815
"24","Peribronchial fibroblasts",13
"25","Pericytes",114
"26","Plasma cells",3
"27","Smooth muscle",219
"28","Transitional Club-AT2",37
