"","cell_type","count"
"1","Adventitial fibroblasts",65
"2","Alveolar fibroblasts",146
"3","AT1",1784
"4","AT2",2703
"5","AT2 proliferating",25
"6","B cells",45
"7","Basal resting",21
"8","CD4 T cells",1370
"9","CD8 T cells",1944
"10","Club (non-nasal)",4
"11","DC2",7
"12","EC aerocyte capillary",23
"13","EC arterial",143
"14","EC general capillary",2688
"15","EC venous pulmonary",4
"16","EC venous systemic",554
"17","Ionocyte",2
"18","Lymphatic EC mature",14
"19","Mast cells",44
"20","Monocyte-derived Mφ",4
"21","Multiciliated (non-nasal)",193
"22","Myofibroblasts",5
"23","NK cells",4
"24","Pericytes",86
"25","Plasma cells",13
"26","Smooth muscle",88
"27","Suprabasal",2
"28","Transitional Club-AT2",19
