"","cell_type","count"
"1","Adventitial fibroblasts",46
"2","Alveolar fibroblasts",427
"3","AT1",1271
"4","AT2",1026
"5","B cells",84
"6","CD4 T cells",2284
"7","CD8 T cells",507
"8","Classical monocytes",28
"9","Club (non-nasal)",3
"10","DC2",12
"11","EC aerocyte capillary",18
"12","EC arterial",2952
"13","EC general capillary",3639
"14","EC venous pulmonary",99
"15","EC venous systemic",918
"16","Ionocyte",1
"17","Lymphatic EC mature",86
"18","Mast cells",86
"19","Multiciliated (non-nasal)",42
"20","Myofibroblasts",50
"21","NK cells",8
"22","Pericytes",286
"23","Plasma cells",23
"24","Smooth muscle",86
"25","Suprabasal",4
"26","Transitional Club-AT2",13
