"","cell_type","count"
"1","Adventitial fibroblasts",5
"2","Alveolar fibroblasts",106
"3","AT1",3082
"4","AT2",879
"5","B cells",80
"6","Basal resting",10
"7","CD4 T cells",645
"8","CD8 T cells",1901
"9","Classical monocytes",13
"10","Club (non-nasal)",8
"11","DC2",2
"12","EC aerocyte capillary",9
"13","EC arterial",581
"14","EC general capillary",1694
"15","EC venous systemic",1587
"16","Lymphatic EC mature",28
"17","Mast cells",37
"18","Multiciliated (non-nasal)",100
"19","Myofibroblasts",46
"20","NK cells",42
"21","Pericytes",84
"22","Plasma cells",10
"23","SMG serous (bronchial)",1
"24","Smooth muscle",37
"25","Transitional Club-AT2",8
