"","cell_type","count"
"1","Adventitial fibroblasts",35
"2","Alveolar fibroblasts",5
"3","AT1",1842
"4","AT2",23
"5","B cells",33
"6","Basal resting",15
"7","CD4 T cells",127
"8","CD8 T cells",24
"9","EC general capillary",433
"10","EC venous systemic",4453
"11","Ionocyte",2
"12","Pericytes",2
"13","Plasmacytoid DCs",4
"14","SMG serous (bronchial)",2
