"","cell_type","count"
"1","Adventitial fibroblasts",62
"2","Alveolar fibroblasts",291
"3","Alveolar macrophages",1
"4","AT1",724
"5","AT2",1037
"6","B cells",163
"7","Basal resting",26
"8","CD4 T cells",963
"9","CD8 T cells",2528
"10","Classical monocytes",89
"11","Club (non-nasal)",21
"12","DC2",1
"13","EC aerocyte capillary",21
"14","EC arterial",687
"15","EC general capillary",2078
"16","EC venous pulmonary",14
"17","EC venous systemic",683
"18","Ionocyte",7
"19","Lymphatic EC mature",28
"20","Mast cells",18
"21","Multiciliated (non-nasal)",166
"22","Myofibroblasts",15
"23","NK cells",1
"24","Non-classical monocytes",2
"25","Pericytes",113
"26","Plasma cells",33
"27","SMG duct",2
"28","SMG serous (bronchial)",26
"29","Smooth muscle",177
"30","Transitional Club-AT2",20
"31","Tuft",1
