"","cell_type","count"
"1","Adventitial fibroblasts",26
"2","Alveolar fibroblasts",302
"3","AT1",1229
"4","AT2",1365
"5","B cells",47
"6","Basal resting",2
"7","CD4 T cells",380
"8","CD8 T cells",1849
"9","Classical monocytes",7
"10","Club (non-nasal)",19
"11","EC aerocyte capillary",116
"12","EC arterial",68
"13","EC general capillary",3724
"14","EC venous pulmonary",77
"15","EC venous systemic",1075
"16","Ionocyte",1
"17","Lymphatic EC mature",42
"18","Mast cells",87
"19","Monocyte-derived Mφ",1
"20","Multiciliated (non-nasal)",188
"21","Myofibroblasts",16
"22","Pericytes",128
"23","Plasma cells",10
"24","Smooth muscle",159
"25","Transitional Club-AT2",81
