"","cell_type","count"
"1","Adventitial fibroblasts",117
"2","Alveolar fibroblasts",702
"3","Alveolar macrophages",56
"4","Alveolar Mφ proliferating",1
"5","AT1",1028
"6","AT2",3340
"7","AT2 proliferating",77
"8","B cells",24
"9","Basal resting",19
"10","CD4 T cells",220
"11","CD8 T cells",1501
"12","Classical monocytes",76
"13","Club (non-nasal)",61
"14","DC2",77
"15","EC aerocyte capillary",89
"16","EC arterial",65
"17","EC general capillary",1384
"18","EC venous pulmonary",67
"19","EC venous systemic",89
"20","Interstitial Mφ perivascular",3
"21","Ionocyte",10
"22","Lymphatic EC mature",76
"23","Mast cells",2
"24","Monocyte-derived Mφ",78
"25","Multiciliated (non-nasal)",371
"26","Myofibroblasts",5
"27","Non-classical monocytes",25
"28","Peribronchial fibroblasts",9
"29","Pericytes",72
"30","Plasma cells",12
"31","Smooth muscle",248
"32","Suprabasal",1
"33","T cells proliferating",1
"34","Transitional Club-AT2",92
