"","cell_type","count"
"1","Adventitial fibroblasts",61
"2","Alveolar fibroblasts",567
"3","AT1",1194
"4","AT2",1258
"5","AT2 proliferating",1
"6","B cells",83
"7","Basal resting",85
"8","CD4 T cells",807
"9","CD8 T cells",1107
"10","Classical monocytes",64
"11","Club (non-nasal)",40
"12","DC2",17
"13","EC aerocyte capillary",39
"14","EC arterial",71
"15","EC general capillary",2203
"16","EC venous pulmonary",54
"17","EC venous systemic",266
"18","Ionocyte",2
"19","Lymphatic EC mature",48
"20","Mast cells",25
"21","Monocyte-derived Mφ",1
"22","Multiciliated (non-nasal)",600
"23","Pericytes",117
"24","Plasma cells",33
"25","SMG duct",9
"26","SMG serous (bronchial)",29
"27","Smooth muscle",172
"28","Suprabasal",1
"29","Transitional Club-AT2",45
