"","cell_type","count"
"1","Adventitial fibroblasts",4
"2","Alveolar fibroblasts",68
"3","AT1",2090
"4","AT2",597
"5","B cells",96
"6","Basal resting",4
"7","CD4 T cells",418
"8","CD8 T cells",137
"9","Classical monocytes",5
"10","Club (non-nasal)",16
"11","DC2",1
"12","EC aerocyte capillary",35
"13","EC arterial",63
"14","EC general capillary",979
"15","EC venous pulmonary",11
"16","EC venous systemic",77
"17","Lymphatic EC mature",11
"18","Mast cells",9
"19","Multiciliated (non-nasal)",65
"20","Pericytes",52
"21","Plasma cells",29
"22","Smooth muscle",41
"23","Transitional Club-AT2",48
