"","cell_type","count"
"1","Adventitial fibroblasts",15
"2","Alveolar fibroblasts",31
"3","AT1",1332
"4","AT2",645
"5","B cells",316
"6","Basal resting",1
"7","CD4 T cells",2944
"8","CD8 T cells",392
"9","Classical monocytes",1
"10","Club (non-nasal)",2
"11","EC aerocyte capillary",4
"12","EC arterial",128
"13","EC general capillary",1341
"14","EC venous systemic",368
"15","Ionocyte",4
"16","Lymphatic EC mature",31
"17","Mast cells",31
"18","Multiciliated (non-nasal)",67
"19","Myofibroblasts",13
"20","Pericytes",89
"21","Plasma cells",107
"22","SMG serous (bronchial)",1
"23","Smooth muscle",66
"24","Transitional Club-AT2",51
