"","cell_type","count"
"1","Adventitial fibroblasts",78
"2","Alveolar fibroblasts",575
"3","AT1",1022
"4","AT2",1033
"5","AT2 proliferating",1
"6","B cells",289
"7","Basal resting",273
"8","CD4 T cells",531
"9","CD8 T cells",1844
"10","Classical monocytes",85
"11","Club (non-nasal)",65
"12","DC2",7
"13","EC aerocyte capillary",55
"14","EC arterial",55
"15","EC general capillary",1706
"16","EC venous pulmonary",37
"17","EC venous systemic",229
"18","Goblet (bronchial)",5
"19","Goblet (nasal)",1
"20","Lymphatic EC mature",22
"21","Multiciliated (non-nasal)",668
"22","Myofibroblasts",9
"23","Peribronchial fibroblasts",4
"24","Pericytes",116
"25","Plasma cells",62
"26","Plasmacytoid DCs",2
"27","SMG duct",3
"28","SMG serous (bronchial)",23
"29","Smooth muscle",195
"30","Transitional Club-AT2",5
