"","cell_type","count"
"1","Adventitial fibroblasts",1
"2","Alveolar fibroblasts",133
"3","Alveolar macrophages",2
"4","AT1",1162
"5","AT2",815
"6","B cells",75
"7","Basal resting",200
"8","CD4 T cells",533
"9","CD8 T cells",836
"10","Classical monocytes",23
"11","Club (nasal)",6
"12","Club (non-nasal)",42
"13","EC aerocyte capillary",70
"14","EC arterial",24
"15","EC general capillary",1657
"16","EC venous pulmonary",1
"17","EC venous systemic",230
"18","Goblet (bronchial)",44
"19","Goblet (nasal)",5
"20","Ionocyte",1
"21","Lymphatic EC mature",39
"22","Mast cells",2
"23","Monocyte-derived Mφ",1
"24","Multiciliated (nasal)",1
"25","Multiciliated (non-nasal)",288
"26","Myofibroblasts",13
"27","NK cells",16
"28","Pericytes",37
"29","Plasma cells",35
"30","Plasmacytoid DCs",1
"31","SMG serous (bronchial)",100
"32","Smooth muscle",138
"33","Transitional Club-AT2",69
"34","Tuft",1
