"","cell_type","count"
"1","Adventitial fibroblasts",16
"2","Alveolar fibroblasts",87
"3","AT1",499
"4","AT2",146
"5","B cells",29
"6","CD4 T cells",47
"7","CD8 T cells",2354
"8","Classical monocytes",19
"9","Club (nasal)",8
"10","Club (non-nasal)",10
"11","DC2",2
"12","EC aerocyte capillary",2
"13","EC arterial",111
"14","EC general capillary",1653
"15","EC venous pulmonary",2
"16","EC venous systemic",432
"17","Goblet (bronchial)",17
"18","Goblet (nasal)",4
"19","Ionocyte",1
"20","Lymphatic EC mature",14
"21","Multiciliated (non-nasal)",276
"22","Myofibroblasts",18
"23","Pericytes",44
"24","Plasma cells",14
"25","Plasmacytoid DCs",4
"26","SMG duct",3
"27","Smooth muscle",186
"28","Transitional Club-AT2",2
