,cell_type,sex,race,count,percentage
0,fibroblast,male,European,1906,39.16170125333881
1,T cell,male,European,153,3.1436202999794536
2,mast cell,male,European,4,0.08218615163344976
3,endothelial cell,male,European,10,0.20546537908362442
4,smooth muscle cell,male,European,1273,26.155742757345386
5,erythrocyte,male,European,7,0.14382576535853708
6,macrophage,male,European,805,16.539963016231766
7,B cell,male,European,6,0.12327922745017465
8,pericyte cell,male,European,526,10.807478939798644
9,plasma cell,male,European,5,0.10273268954181221
10,mature NK T cell,male,European,13,0.2671049928087117
11,endothelial cell of lymphatic vessel,male,European,42,0.8629545921512225
12,endothelial cell of artery,male,European,117,2.4039449352784055
