cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,318,3.41862
Astro L1-6 FGFR3 PLCG1,61,0.655773
Endo L2-5 NOSTRIN SRGN,209,2.24683
Exc L2 LINC00507 GLRA3,7819,84.0572
Micro L1-6 TYROBP CD74,883,9.49258
VLMC L1-5 PDGFRA COLEC12,12,0.129005
