cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,636,6.68137
Astro L1-6 FGFR3 PLCG1,15,0.157580
Endo L2-5 NOSTRIN SRGN,334,3.50877
Inh L1-5 VIP SMOC1,7717,81.0694
Micro L1-6 TYROBP CD74,714,7.50079
OPC L1-6 PDGFRA COL20A1,92,0.966488
VLMC L1-5 PDGFRA COLEC12,11,0.115558
