cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,156,2.47934
Endo L2-5 NOSTRIN SRGN,185,2.94024
Exc L2 LINC00507 GLRA3,57,0.905912
Exc L3-5 RORB RPRM,5787,91.9739
Exc L5-6 FEZF2 C9orf135-AS1,1,0.0158932
Micro L1-6 TYROBP CD74,14,0.222505
Oligo L2-6 OPALIN FTH1P3,5,0.0794660
VLMC L1-5 PDGFRA COLEC12,87,1.38271
