cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,442,3.05417
Astro L1-6 FGFR3 PLCG1,346,2.39082
Endo L2-5 NOSTRIN SRGN,23,0.158928
Exc L2 LINC00507 GLRA3,12423,85.8416
Exc L3-5 RORB LNX2,159,1.09867
Exc L3-5 RORB RPRM,203,1.40271
Micro L1-6 TYROBP CD74,85,0.587341
Oligo L2-6 OPALIN FTH1P3,114,0.787728
OPC L1-6 PDGFRA COL20A1,122,0.843007
VLMC L1-5 PDGFRA COLEC12,555,3.83499
