cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,499,2.49213
Endo L2-5 NOSTRIN SRGN,30,0.149828
Exc L2 LINC00507 GLRA3,18435,92.0691
Exc L3-5 RORB LNX2,581,2.90166
Micro L1-6 TYROBP CD74,84,0.419518
VLMC L1-5 PDGFRA COLEC12,394,1.96774
