cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,1069,8.05819
Endo L2-5 NOSTRIN SRGN,506,3.81426
Exc L2 LINC00507 GLRA3,1533,11.5559
Micro L1-6 TYROBP CD74,9718,73.2549
Oligo L2-6 OPALIN FTH1P3,13,0.0979949
OPC L1-6 PDGFRA COL20A1,167,1.25886
VLMC L1-5 PDGFRA COLEC12,260,1.95990
