cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,578,8.62429
Endo L2-5 NOSTRIN SRGN,129,1.92480
Exc L3-5 RORB RPRM,5613,83.7511
Inh L1-5 VIP SMOC1,95,1.41749
Inh L5-6 SST ISX,9,0.134288
Micro L1-6 TYROBP CD74,45,0.671441
OPC L1-6 PDGFRA COL20A1,85,1.26828
VLMC L1-5 PDGFRA COLEC12,148,2.20830
