cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,640,6.29178
Astro L1-6 FGFR3 PLCG1,6,0.0589855
Endo L2-5 NOSTRIN SRGN,36,0.353913
Exc L2 LINC00507 GLRA3,1589,15.6213
Exc L3-5 RORB LNX2,174,1.71058
Exc L3-5 RORB RPRM,6653,65.4050
Micro L1-6 TYROBP CD74,155,1.52379
Oligo L2-6 OPALIN FTH1P3,31,0.304758
OPC L1-6 PDGFRA COL20A1,191,1.87770
VLMC L1-5 PDGFRA COLEC12,697,6.85214
