cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,86,0.637793
Astro L1-6 FGFR3 PLCG1,43,0.318896
Endo L2-5 NOSTRIN SRGN,388,2.87748
Exc L2 LINC00507 GLRA3,12757,94.6084
Micro L1-6 TYROBP CD74,194,1.43874
OPC L1-6 PDGFRA COL20A1,15,0.111243
VLMC L1-5 PDGFRA COLEC12,1,0.00741620
