cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,884,28.8418
Astro L1-6 FGFR3 PLCG1,130,4.24144
Endo L2-5 NOSTRIN SRGN,398,12.9853
Exc L3-5 RORB LNX2,91,2.96900
Micro L1-6 TYROBP CD74,708,23.0995
Oligo L2-6 OPALIN FTH1P3,25,0.815661
Oligo L3-6 OPALIN LRP4-AS1,38,1.23980
OPC L1-6 PDGFRA COL20A1,200,6.52529
VLMC L1-5 PDGFRA COLEC12,591,19.2822
