cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,794,14.4180
Endo L2-5 NOSTRIN SRGN,154,2.79644
Exc L3-5 RORB RPRM,4446,80.7336
Inh L1-5 VIP SMOC1,22,0.399492
Micro L1-6 TYROBP CD74,17,0.308698
Oligo L2-6 OPALIN FTH1P3,7,0.127111
OPC L1-6 PDGFRA COL20A1,18,0.326857
VLMC L1-5 PDGFRA COLEC12,49,0.889777
