cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,609,7.94935
Astro L1-6 FGFR3 PLCG1,56,0.730975
Endo L2-5 NOSTRIN SRGN,215,2.80642
Exc L3-5 RORB LNX2,1,0.0130531
Exc L3-5 RORB RPRM,6375,83.2137
Micro L1-6 TYROBP CD74,67,0.874559
Oligo L2-6 OPALIN FTH1P3,22,0.287169
OPC L1-6 PDGFRA COL20A1,198,2.58452
VLMC L1-5 PDGFRA COLEC12,118,1.54027
