cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,1785,17.0000
Astro L1-6 FGFR3 PLCG1,2,0.0190476
Endo L2-5 NOSTRIN SRGN,199,1.89524
Exc L3-5 RORB RPRM,7458,71.0286
Micro L1-6 TYROBP CD74,282,2.68571
VLMC L1-5 PDGFRA COLEC12,774,7.37143
