cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,894,5.24156
Endo L2-5 NOSTRIN SRGN,45,0.263837
Exc L2 LINC00507 GLRA3,1,0.00586304
Exc L3-5 RORB LNX2,14978,87.8166
Micro L1-6 TYROBP CD74,667,3.91065
Oligo L2-6 OPALIN FTH1P3,73,0.428002
OPC L1-6 PDGFRA COL20A1,168,0.984991
VLMC L1-5 PDGFRA COLEC12,230,1.34850
