,Cortical Collecting Duct Intercalated Type A,Distal Convoluted Tubule Type 1,Vascular Smooth Muscle / Pericyte,Peritubular Capilary Endothelial ,Inner Medullary Collecting Duct,Medullary Thick Ascending Limb,Outer Medullary Collecting Duct Principal,Connecting Tubule,Cycling Mononuclear Phagocyte,Parietal Epithelial,Outer Medullary Collecting Duct Intercalated Type A,Descending Vasa Recta Endothelial ,Papillary Tip Epithelial,Macula Densa,Afferent / Efferent Arteriole Endothelial,Podocyte,Ascending Thin Limb,M2 Macrophage,Monocyte-derived,Descending Thin Limb Type 1,T,Plasmacytoid Dendritic,Lymphatic Endothelial,Glomerular Capillary Endothelial,Descending Thin Limb Type 2,Cortical Vascular Smooth Muscle / Pericyte,Neutrophil,Classical Dendritic,Proximal Tubule Epithelial Segment 2,Medullary Fibroblast,Distal Convoluted Tubule Type 2,Fibroblast,Schwann / Neural,Connecting Tubule Principal,Intercalated Type B,Proximal Tubule Epithelial Segment 1,B,Natural Killer T,Cortical Collecting Duct Principal,Renin-positive Juxtaglomerular Granular,Cortical Thick Ascending Limb,Connecting Tubule Intercalated Type A,Ascending Vasa Recta Endothelial,Proximal Tubule Epithelial Segment 3,Mast,Non-classical monocyte,Plasma,Descending Thin Limb Type 3,Mesangial,HuBMAP_dataset_id
0,785,1508,131,324,7712,5130,435,3227,0,555,291,90,0,143,34,2,1830,43,97,25742,791,0,1,135,44426,1,0,158,8,235,0,305,0,182,308,111,109,0,1477,0,3936,0,211,65,32,0,0,69,64,HBM236.KSJH.889
1,49,2717,55,465,963,174,14,2039,0,96,217,120,2,54,101,199,2109,74,311,345,2,0,23,146,1116,93,0,7,0,183,32,1044,6,31,164,2457,6,1,452,1,9201,2,57,1036,11,0,1,15,60,HBM242.HNLH.466
2,78,2843,42,424,2800,125,39,1661,0,108,126,42,4,104,28,543,1679,90,10,779,4,1,19,213,1335,93,0,464,1,23,61,2277,72,83,191,3615,1,3,474,2,7417,13,226,2007,20,0,2,7,38,HBM243.MTZV.726
3,27,109,6,34,599,1228,2,51,0,9,10,41,0,12,14,0,31,31,0,644,0,0,1,1,13,0,0,0,0,242,0,19,0,1,4,0,0,0,39,0,347,0,113,0,0,0,0,22,0,HBM243.TTRM.823
4,1,0,2,27,8387,0,0,3210,0,2,0,2,1865,0,3,1,2,394,0,745,0,0,7,0,0,88,0,0,0,510,0,745,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,HBM244.FRPJ.636
5,776,7564,104,876,31508,7337,4159,6050,0,2029,23,151,0,467,39,90,2147,129,2,20858,149,0,63,1,9573,20,0,0,4,439,0,1154,0,52,482,44,24,0,2020,9,1479,0,169,291,64,0,0,380,67,HBM244.WRXM.247
6,40,2092,115,160,2771,262,16,2230,0,156,201,34,1,422,64,243,1231,99,40,364,7,1,6,144,803,51,1,191,1,69,16,906,5,33,124,2275,0,1,440,4,5043,4,231,791,10,2,1,26,85,HBM246.KBZS.276
7,77,1640,102,288,2271,262,88,1873,0,98,242,82,4,66,21,415,2679,51,6,554,4,0,4,402,1018,134,1,243,2,72,15,1243,15,66,147,2211,0,0,385,0,4315,8,87,1340,46,4,3,48,44,HBM252.JLSW.848
8,1,0,19,14,4204,0,0,663,0,0,0,12,332,0,10,0,1,31,0,210,0,0,5,0,0,83,0,0,0,305,0,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,HBM254.SXWG.373
9,60,2196,143,205,2959,264,10,1765,0,76,256,77,1,17,9,195,561,94,390,278,7,0,12,123,935,187,0,32,18,149,10,1264,5,106,150,2087,0,0,449,0,7028,9,271,853,2,0,0,5,22,HBM258.HQCL.349
