,Classical Dendritic,Connecting Tubule,Distal Convoluted Tubule Type 2,Ascending Vasa Recta Endothelial,Glomerular Capillary Endothelial,Renin-positive Juxtaglomerular Granular,Cortical Collecting Duct Principal,Medullary Thick Ascending Limb,Cortical Vascular Smooth Muscle / Pericyte,T,Neutrophil,Proximal Tubule Epithelial Segment 2,Medullary Fibroblast,Outer Medullary Collecting Duct Intercalated Type A,Non-classical monocyte,Cycling Mononuclear Phagocyte,Inner Medullary Collecting Duct,Parietal Epithelial,Podocyte,Proximal Tubule Epithelial Segment 1,Plasma,Cortical Thick Ascending Limb,Schwann / Neural,Mast,Distal Convoluted Tubule Type 1,Outer Medullary Collecting Duct Principal,Mesangial,Afferent / Efferent Arteriole Endothelial,B,Connecting Tubule Principal,Descending Thin Limb Type 1,Descending Thin Limb Type 3,Ascending Thin Limb,Intercalated Type B,Monocyte-derived,Vascular Smooth Muscle / Pericyte,Cortical Collecting Duct Intercalated Type A,M2 Macrophage,Connecting Tubule Intercalated Type A,Natural Killer T,Papillary Tip Epithelial,Proximal Tubule Epithelial Segment 3,Plasmacytoid Dendritic,Fibroblast,Peritubular Capilary Endothelial ,Descending Vasa Recta Endothelial ,Lymphatic Endothelial,Descending Thin Limb Type 2,Macula Densa,HuBMAP_tissue_block_id
0,158,3227,0,211,135,0,1477,5130,1,791,0,8,235,291,0,0,7712,555,2,111,0,3936,0,32,1508,435,64,34,109,182,25742,69,1830,308,97,131,785,43,0,0,0,65,0,305,324,90,1,44426,143,
1,7,2039,32,57,146,1,452,174,93,2,0,0,183,217,0,0,963,96,199,2457,1,9201,6,11,2717,14,60,101,6,31,345,15,2109,164,311,55,49,74,2,1,2,1036,0,1044,465,120,23,1116,54,HBM964.XZCR.478
2,464,1661,61,226,213,2,474,125,93,4,0,1,23,126,0,0,2800,108,543,3615,2,7417,72,20,2843,39,38,28,1,83,779,7,1679,191,10,42,78,90,13,3,4,2007,1,2277,424,42,19,1335,104,HBM964.XZCR.478
3,0,51,0,113,1,0,39,1228,0,0,0,0,242,10,0,0,599,9,0,0,0,347,0,0,109,2,0,14,0,1,644,22,31,4,0,6,27,31,0,0,0,0,0,19,34,41,1,13,12,HBM538.RWLX.332
4,0,3210,0,1,0,0,1,0,88,0,0,0,510,0,0,0,8387,2,1,0,0,0,0,0,0,0,4,3,0,1,745,1,2,0,0,2,1,394,0,0,1865,0,0,745,27,2,7,0,0,HBM788.KSZC.942
5,0,6050,0,169,1,9,2020,7337,20,149,0,4,439,23,0,0,31508,2029,90,44,0,1479,0,64,7564,4159,67,39,24,52,20858,380,2147,482,2,104,776,129,0,0,0,291,0,1154,876,151,63,9573,467,
6,191,2230,16,231,144,4,440,262,51,7,1,1,69,201,2,0,2771,156,243,2275,1,5043,5,10,2092,16,85,64,0,33,364,26,1231,124,40,115,40,99,4,1,1,791,1,906,160,34,6,803,422,HBM964.XZCR.478
7,243,1873,15,87,402,0,385,262,134,4,1,2,72,242,4,0,2271,98,415,2211,3,4315,15,46,1640,88,44,21,0,66,554,48,2679,147,6,102,77,51,8,0,4,1340,0,1243,288,82,4,1018,66,HBM964.XZCR.478
8,0,663,0,1,0,0,0,0,83,0,0,0,305,0,0,0,4204,0,0,0,0,0,0,0,0,0,0,10,0,0,210,1,1,0,0,19,1,31,0,0,332,0,0,106,14,12,5,0,0,HBM557.PWFN.956
9,32,1765,10,271,123,0,449,264,187,7,0,18,149,256,0,0,2959,76,195,2087,0,7028,5,2,2196,10,22,9,0,106,278,5,561,150,390,143,60,94,9,0,1,853,0,1264,205,77,12,935,17,HBM964.XZCR.478
10,0,1295,4,0,11,0,24,219,1,159,0,0,3,0,0,0,1813,8,57,189,20,1168,0,0,279,22,0,1,9,0,804,2,15,57,25,3,167,56,0,0,0,135,0,43,39,2,6,599,285,HBM534.PQDR.545
11,0,70,0,11,0,0,47,355,2,0,0,0,31,26,0,0,1388,0,0,0,0,359,0,0,10,0,1,1,0,3,580,8,9,1,0,4,14,0,0,0,0,0,0,15,7,24,0,5,26,HBM449.THVK.739
12,0,133,0,4,11,0,48,307,3,0,0,3,7,4,0,0,1792,2,34,91,0,779,0,0,110,2,0,8,0,2,253,6,13,1,0,9,5,0,0,0,0,239,0,36,20,22,0,48,4,HBM757.NMDS.629
