,cell_counts,dataset_path,source
0,40,"['csv/Skin_GTEx_Portal/GTEX-1CAMR-5015.csv', 'csv/Skin_CxG_Portal/06134484-e17f-4b5d-989f-e00c4484701b_F45.csv', 'csv/Liver_CxG_Portal/06134484-e17f-4b5d-989f-e00c4484701b_F19.csv', 'csv/Brain_CxG_Portal/463d78e4-ce0c-4ea4-b502-6307b63c80a2_H20.33.030.csv', 'csv/Brain_CxG_Portal/a0358102-3dcb-40d7-8b80-01a237f40b9e_H20.33.036.csv']","['GTEx', 'CxG', 'CxG', 'CxG', 'CxG']"
1,208,"['csv/Heart_CxG_Portal/45dd32d7-00ff-4a1a-9c48-d3eaf9736e13_H7.csv', 'csv/Heart_HuBMAP_Portal/HBM656.TJNG.945.csv', 'csv/Brain_CxG_Portal/0fef7765-54d6-49fd-903c-2438ae47b056_H21.33.036.csv']","['CxG', 'HuBMAP', 'CxG']"
2,326,"['csv/Skin_GTEx_Portal/GTEX-15EOM-5003.csv', 'csv/Blood_CxG_Portal/5c7aaae4-d7be-442c-b659-8b1fa56bf846_KR_SGI_H157.csv', 'csv/Brain_CxG_Portal/8b1fa586-0233-4480-beb9-dfb29e610a90_H19.33.004.csv', 'csv/Brain_CxG_Portal/f7f57497-9621-47c8-9846-0fb10332bde4_H20.33.044.csv', 'csv/Brain_CxG_Portal/a0358102-3dcb-40d7-8b80-01a237f40b9e_H19.30.001.csv']","['GTEx', 'CxG', 'CxG', 'CxG', 'CxG']"
3,501,"['csv/Kidney_CxG_Portal/cd9f2c40-6470-4ef6-98b0-5909acf66e64_TxK1.csv', 'csv/Kidney_CxG_Portal/d6bdb56c-05a5-4d7b-ad31-4614e673ba66_TxK1.csv', 'csv/Kidney_HuBMAP_Portal/HBM752.ZRBH.538.csv']","['CxG', 'CxG', 'HuBMAP']"
4,1456,"['csv/Breast_GTEx_Portal/GTEX-1MCC2-5013.csv', 'csv/Blood_CxG_Portal/eab6ad1d-665b-4ea7-9bbb-59f30e610322_1026_1027.csv', 'csv/Blood_CxG_Portal/eab6ad1d-665b-4ea7-9bbb-59f30e610322_882_883.csv']","['GTEx', 'CxG', 'CxG']"
5,1499,"['csv/Small_Intestine_CxG_Portal/f909b36b-fb4e-463e-a1f8-53fc39519c9f_T44.csv', 'csv/Kidney_HuBMAP_Portal/HBM884.TGCL.432.csv', 'csv/Blood_CxG_Portal/eab6ad1d-665b-4ea7-9bbb-59f30e610322_292_293.csv']","['CxG', 'HuBMAP', 'CxG']"
6,1500,"['csv/Eye_CxG_Portal/890b91e0-e613-4de6-acab-963c6432692e_109829.csv', 'csv/Spleen_CxG_Portal/06134484-e17f-4b5d-989f-e00c4484701b_F45.csv', 'csv/Kidney_HuBMAP_Portal/HBM987.RLTF.378.csv', 'csv/Blood_CxG_Portal/5c7aaae4-d7be-442c-b659-8b1fa56bf846_SG_HEL_H123.csv', 'csv/Blood_CxG_Portal/eab6ad1d-665b-4ea7-9bbb-59f30e610322_1053_1054.csv']","['CxG', 'CxG', 'HuBMAP', 'CxG', 'CxG']"
7,1502,"['csv/Small_Intestine_CxG_Portal/1e7713ad-b371-465a-acd8-6959c8ea905f_AAP.csv', 'csv/Prostate_GTEx_Portal/GTEX-15CHR-5014.csv', 'csv/Prostate_CxG_Portal/9f4d514f-d854-4d54-9b94-a4ba324e9b05_GTEX-15CHR.csv']","['CxG', 'GTEx', 'CxG']"
8,3183,"['csv/Heart_CxG_Portal/a9ccfc4c-14c0-40ce-8c07-96b6c7a917a0_P1.csv', 'csv/Kidney_HuBMAP_Portal/HBM388.SGMJ.342.csv']","['CxG', 'HuBMAP']"
9,3999,"['csv/Large_Intestine_CxG_Portal/2993616d-12b8-477a-b8dd-3c9415d92119_2133.csv', 'csv/Kidney_HuBMAP_Portal/HBM745.XMRR.874.csv']","['CxG', 'HuBMAP']"
10,4961,"['csv/Skin_GTEx_Portal/GTEX-1HSMQ-5007.csv', 'csv/Eye_CxG_Portal/01e64822-234b-4af2-9e03-652152e89c7c_19D015.csv']","['GTEx', 'CxG']"
11,5996,"['csv/Liver_CxG_Portal/af4ff68b-1dfc-475f-aa93-c07bf4625e87_F35.csv', 'csv/Lung_HuBMAP_Portal/HBM499.LKRN.573.csv']","['CxG', 'HuBMAP']"
12,5998,"['csv/Kidney_CxG_Portal/16eccda8-805c-4e06-b7b6-0cbf0dbdf28b_F38.csv', 'csv/Kidney_HuBMAP_Portal/HBM254.SXWG.373.csv']","['CxG', 'HuBMAP']"
13,6285,"['csv/Prostate_GTEx_Portal/GTEX-12BJ1-5007.csv', 'csv/Prostate_CxG_Portal/9f4d514f-d854-4d54-9b94-a4ba324e9b05_GTEX-12BJ1.csv', 'csv/Brain_CxG_Portal/bd4f498f-c563-4568-9b3c-ba2f1ad68975_CTRL-7.csv']","['GTEx', 'CxG', 'CxG']"
14,8111,"['csv/Liver_CxG_Portal/6811d040-4e33-4592-80a7-4521e6aa95e8_H38.csv', 'csv/Kidney_HuBMAP_Portal/HBM938.FTRX.289.csv']","['CxG', 'HuBMAP']"
15,10347,"['csv/Prostate_GTEx_Portal/GTEX-1HSMQ-5014.csv', 'csv/Prostate_CxG_Portal/9f4d514f-d854-4d54-9b94-a4ba324e9b05_GTEX-1HSMQ.csv']","['GTEx', 'CxG']"
16,12927,"['csv/Prostate_GTEx_Portal/GTEX-1I1GU-5006.csv', 'csv/Prostate_CxG_Portal/9f4d514f-d854-4d54-9b94-a4ba324e9b05_GTEX-1I1GU.csv']","['GTEx', 'CxG']"
