,dataset_id,HuBMAP_tissue_block_id
169,HBM393.DZDZ.972,HBM964.XZCR.478
170,HBM785.LNQZ.992,HBM833.VZTL.864
171,HBM942.NXWW.245,HBM964.XZCR.478
172,HBM356.QPJF.839,HBM853.SNJJ.892
173,HBM242.HNLH.466,HBM964.XZCR.478
174,HBM745.XMRR.874,HBM757.NMDS.629
175,HBM476.ZWMS.768,HBM339.DBQF.784
176,HBM254.SXWG.373,HBM557.PWFN.956
177,HBM742.PSCP.565,HBM574.LFRK.262
178,HBM843.QHNR.854,HBM653.SFTB.462
179,HBM772.WGBN.852,HBM297.PFXV.394
180,GTEX-15RIE-5021,
181,GTEX-145ME-5018,
182,GTEX-1HSMQ-5011,
183,GTEX-16BQI-5013,
184,GTEX-145ME-5005,
185,GTEX-15SB6-5008,
186,HBM222.HSVR.282,HBM744.DVKT.694
187,HBM224.GLDC.549,HBM588.QSNN.686
188,HBM224.GLDC.549,HBM979.SSNH.934
189,HBM224.WNNF.837,HBM723.WVZJ.827
190,HBM227.SQCR.264,HBM455.PRVR.965
191,HBM227.SQCR.264,HBM639.BSVJ.945
192,HBM232.KNBD.954,HBM782.RNDZ.677
193,HBM232.KNBD.954,HBM944.GMWC.368
194,HBM233.TRXX.696,HBM549.TLVB.452
195,HBM238.MHWZ.654,HBM665.QHRJ.735
196,HBM238.MHWZ.654,HBM695.TGJS.338
197,HBM238.ZKPC.934,HBM969.VNQL.553
198,HBM239.XXRN.647,HBM665.QHRJ.735
199,HBM239.XXRN.647,HBM695.TGJS.338
200,HBM245.VSKK.846,HBM282.CWDP.792
201,HBM245.VSKK.846,HBM662.LCNF.582
202,HBM246.DMSS.835,HBM897.MZNC.757
203,HBM252.BMWF.224,HBM339.DBQF.784
204,HBM252.BMWF.224,HBM779.PTHT.732
205,HBM254.NMJR.348,HBM449.THVK.739
206,HBM254.NMJR.348,HBM529.CXVH.794
207,HBM255.HLNC.938,HBM222.SQKD.292
208,HBM255.HLNC.938,HBM682.PRLT.374
209,HBM256.KFVT.324,HBM624.HGGF.297
210,HBM257.DBNG.933,HBM734.MCNP.326
211,HBM257.DBNG.933,HBM872.VTRJ.863
212,HBM257.JTGD.599,HBM288.MHXG.854
213,HBM258.BWHR.287,HBM238.QPLB.494
214,HBM258.LPGK.484,HBM259.DVTF.844
215,HBM259.BPTK.843,HBM665.QHRJ.735
216,HBM259.BPTK.843,HBM695.TGJS.338
217,HBM259.GGPX.595,HBM782.RNDZ.677
218,HBM259.GGPX.595,HBM944.GMWC.368
219,HBM264.RWRW.668,HBM534.PQDR.545
220,HBM264.RWRW.668,HBM658.HLPP.972
221,HBM265.GSVG.935,HBM267.HTHQ.426
222,HBM265.NXDR.935,HBM665.QHRJ.735
223,HBM265.NXDR.935,HBM695.TGJS.338
224,HBM266.ZBKL.396,HBM279.ZBSM.472
225,HBM276.BCVG.232,HBM534.PQDR.545
226,HBM276.BCVG.232,HBM658.HLPP.972
227,HBM277.KCLM.554,HBM897.MZNC.757
228,HBM277.NJQB.375,HBM848.PRTH.942
229,HBM283.GHKJ.532,HBM269.XSXP.962
230,HBM283.GHKJ.532,HBM578.GNTF.748
231,HBM284.SBPR.357,HBM895.QCSS.322
232,HBM284.SBPR.357,HBM975.XFRZ.636
233,HBM284.WKTD.796,HBM486.QXHD.874
234,HBM284.WKTD.796,HBM688.MWGQ.574
235,HBM285.HKKN.274,HBM638.GGCQ.252
236,HBM288.RCTV.965,HBM339.DBQF.784
237,HBM288.RCTV.965,HBM779.PTHT.732
238,HBM289.XGJN.789,HBM549.TLVB.452
239,HBM296.PCFN.989,HBM734.MCNP.326
240,HBM296.PCFN.989,HBM872.VTRJ.863
241,HBM298.KXFW.694,HBM347.DKWD.579
242,HBM298.KXFW.694,HBM763.BTMG.534
243,HBM325.QBFF.466,HBM633.CHDG.392
244,HBM328.FTJW.669,HBM339.DBQF.784
245,HBM328.FTJW.669,HBM779.PTHT.732
246,HBM334.QWFV.953,HBM544.CZWL.784
247,HBM334.QWFV.953,HBM936.THPV.749
248,HBM335.XXBG.857,HBM734.MCNP.326
249,HBM335.XXBG.857,HBM872.VTRJ.863
250,HBM342.FQXQ.335,HBM485.MFVF.256
251,HBM342.MWMW.936,HBM534.KCDB.944
252,HBM342.MWMW.936,HBM534.KCDB.944
253,HBM343.FLQM.896,HBM328.RHVD.587
254,HBM343.FLQM.896,HBM788.KSZC.942
255,HBM344.HZNN.755,HBM439.RKPP.789
256,HBM347.VDHS.379,HBM825.KBPF.658
257,HBM349.KWMK.599,HBM339.DBQF.784
258,HBM349.KWMK.599,HBM779.PTHT.732
259,HBM349.XPRZ.258,HBM339.DBQF.784
260,HBM349.XPRZ.258,HBM779.PTHT.732
261,HBM352.FPGR.328,HBM329.SFVX.367
262,HBM352.FPGR.328,HBM373.FGDK.859
263,HBM353.NZVQ.793,HBM662.ZXJN.782
264,HBM353.NZVQ.793,HBM823.KKKP.894
265,HBM359.CQKZ.649,HBM288.MHXG.854
266,HBM363.LDZL.423,HBM339.DBQF.784
267,HBM363.LDZL.423,HBM779.PTHT.732
268,HBM363.NSBV.432,HBM534.KCDB.944
269,HBM363.NSBV.432,HBM534.KCDB.944
270,HBM366.RVSS.338,HBM578.GNTF.748
271,HBM366.RVSS.338,HBM867.KTVV.927
272,HBM367.WWJC.552,HBM784.SPZB.799
273,HBM368.FDDS.927,HBM282.CWDP.792
274,HBM368.FDDS.927,HBM662.LCNF.582
275,HBM368.QPXJ.543,HBM288.MHXG.854
276,HBM369.FCNZ.863,HBM345.QSPF.289
277,HBM369.FCNZ.863,HBM872.XRHM.685
278,HBM373.FNMG.689,HBM497.VGSN.945
279,HBM374.BXTC.899,HBM455.PRVR.965
280,HBM374.BXTC.899,HBM639.BSVJ.945
281,HBM374.GWDZ.897,HBM387.FRRL.937
282,HBM374.GWDZ.897,HBM748.GDSK.748
283,HBM375.KNVL.645,HBM665.QHRJ.735
284,HBM375.KNVL.645,HBM695.TGJS.338
285,HBM375.ZKZZ.765,HBM224.HCFB.249
286,HBM378.WGXD.394,HBM823.GGSW.733
287,HBM378.WGXD.394,HBM999.WVWP.899
288,HBM379.QCJT.435,HBM946.WFMM.788
289,HBM379.ZGKM.223,HBM282.CWDP.792
290,HBM379.ZGKM.223,HBM662.LCNF.582
291,HBM382.HNKL.447,HBM547.QLDF.845
292,HBM384.BWTV.862,HBM534.PQDR.545
293,HBM384.BWTV.862,HBM658.HLPP.972
294,HBM385.CJKX.252,HBM325.FMTV.343
295,HBM386.CVHG.956,HBM588.QSNN.686
296,HBM386.CVHG.956,HBM979.SSNH.934
297,HBM388.FZJF.382,HBM358.NWPX.662
298,HBM388.FZJF.382,HBM975.TVTP.828
299,HBM388.JGKV.766,HBM279.ZBSM.472
300,HBM388.ZSNN.945,HBM446.HQRF.573
301,HBM389.FGMD.644,HBM279.ZBSM.472
302,HBM393.CCBZ.572,HBM486.QXHD.874
303,HBM393.CCBZ.572,HBM688.MWGQ.574
304,HBM393.NWNB.684,HBM282.CWDP.792
305,HBM393.NWNB.684,HBM662.LCNF.582
306,HBM394.VPCK.634,HBM252.NJGH.275
307,HBM394.VPCK.634,HBM635.PSTJ.637
308,HBM394.VSKR.883,HBM284.LKZT.268
309,HBM394.VSKR.883,HBM896.LDWJ.896
310,HBM396.BTXQ.696,HBM695.BKXQ.562
311,HBM396.JHNS.692,HBM223.KDVZ.277
312,HBM396.JHNS.692,HBM439.XLQC.765
313,HBM396.QSCB.763,HBM534.PQDR.545
314,HBM396.QSCB.763,HBM658.HLPP.972
315,HBM397.WXXH.736,HBM398.FZPD.625
316,HBM398.CFZH.458,HBM665.QHRJ.735
317,HBM398.CFZH.458,HBM695.TGJS.338
318,HBM398.HXZL.642,HBM394.KDBS.444
319,HBM398.HXZL.642,HBM467.BFGV.595
320,HBM398.NCVN.256,HBM396.WPKL.954
321,HBM398.ZSNW.578,HBM279.ZBSM.472
322,HBM399.MWFF.783,HBM724.ZQKX.379
