,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,granulocyte,CL:0000094,male,European,29-year-old human stage,6,0.022063690519967642
1,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,secretory cell,CL:0000151,male,European,29-year-old human stage,157,0.5773332352724866
2,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,B cell,CL:0000236,male,European,29-year-old human stage,1,0.00367728175332794
3,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,vascular associated smooth muscle cell,CL:0000359,male,European,29-year-old human stage,20,0.0735456350665588
4,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,dendritic cell,CL:0000451,male,European,29-year-old human stage,29,0.10664117084651026
5,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,pericyte cell,CL:0000669,male,European,29-year-old human stage,16,0.05883650805324704
6,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,plasma cell,CL:0000786,male,European,29-year-old human stage,3,0.011031845259983821
7,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,"CD4-positive, alpha-beta thymocyte",CL:0000810,male,European,29-year-old human stage,33,0.12135029785982203
8,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,mature NK T cell,CL:0000814,male,European,29-year-old human stage,1,0.00367728175332794
9,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,classical monocyte,CL:0000860,male,European,29-year-old human stage,12,0.044127381039935284
10,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,non-classical monocyte,CL:0000875,male,European,29-year-old human stage,2,0.00735456350665588
11,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,"effector CD4-positive, alpha-beta T cell",CL:0001044,male,European,29-year-old human stage,4,0.01470912701331176
12,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,luminal cell of prostate epithelium,CL:0002340,male,European,29-year-old human stage,178,0.6545561520923733
13,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,basal cell of prostate epithelium,CL:0002341,male,European,29-year-old human stage,6038,22.2034272265941
14,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,CD1c-positive myeloid dendritic cell,CL:0002399,male,European,29-year-old human stage,29,0.10664117084651026
15,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,epithelial cell of urethra,CL:1000296,male,European,29-year-old human stage,1306,4.80252996984629
16,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,fibroblast of connective tissue of nonglandular part of prostate,CL:1000304,male,European,29-year-old human stage,8,0.02941825402662352
17,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,fibroblast of connective tissue of glandular part of prostate,CL:1000305,male,European,29-year-old human stage,8,0.02941825402662352
18,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,smooth muscle cell of prostate,CL:1000487,male,European,29-year-old human stage,8,0.02941825402662352
