,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,secretory cell,CL:0000151,male,European,29-year-old human stage,159,0.5539683645738973
1,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,neuroendocrine cell,CL:0000165,male,European,29-year-old human stage,3,0.010452233293847119
2,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,leukocyte,CL:0000738,male,European,29-year-old human stage,207,0.7212040972754512
3,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,luminal cell of prostate epithelium,CL:0002340,male,European,29-year-old human stage,647,2.254198313706362
4,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,basal cell of prostate epithelium,CL:0002341,male,European,29-year-old human stage,7542,26.276914500731657
5,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,epithelial cell of urethra,CL:1000296,male,European,29-year-old human stage,115,0.40066894293080624
6,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,fibroblast of connective tissue of prostate,CL:1000299,male,European,29-year-old human stage,51,0.17768796599540101
7,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,smooth muscle cell of prostate,CL:1000487,male,European,29-year-old human stage,199,0.6933314751585256
8,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,prostate gland microvascular endothelial cell,CL:2000059,male,European,29-year-old human stage,157,0.5470002090446658
9,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,secretory cell,CL:0000151,male,European,31-year-old human stage,25,0.08710194411539265
10,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,neuroendocrine cell,CL:0000165,male,European,31-year-old human stage,5,0.01742038882307853
11,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,leukocyte,CL:0000738,male,European,31-year-old human stage,43,0.14981534387847537
12,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,luminal cell of prostate epithelium,CL:0002340,male,European,31-year-old human stage,1046,3.6443453417880285
13,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,basal cell of prostate epithelium,CL:0002341,male,European,31-year-old human stage,3201,11.152532924534876
14,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,epithelial cell of urethra,CL:1000296,male,European,31-year-old human stage,123,0.4285415650477319
15,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,fibroblast of connective tissue of prostate,CL:1000299,male,European,31-year-old human stage,270,0.9407009964462407
16,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,smooth muscle cell of prostate,CL:1000487,male,European,31-year-old human stage,193,0.6724270085708313
17,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,prostate gland microvascular endothelial cell,CL:2000059,male,European,31-year-old human stage,405,1.411051494669361
18,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,secretory cell,CL:0000151,male,European,29-year-old human stage,1604,5.588460734443593
19,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,neuroendocrine cell,CL:0000165,male,European,29-year-old human stage,11,0.03832485541077277
20,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,leukocyte,CL:0000738,male,European,29-year-old human stage,184,0.6410703086892899
21,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,luminal cell of prostate epithelium,CL:0002340,male,European,29-year-old human stage,212,0.7386244860985297
22,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,basal cell of prostate epithelium,CL:0002341,male,European,29-year-old human stage,6433,22.413072259772836
23,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,epithelial cell of urethra,CL:1000296,male,European,29-year-old human stage,398,1.3866629503170511
24,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,fibroblast of connective tissue of prostate,CL:1000299,male,European,29-year-old human stage,252,0.877987596683158
25,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,smooth muscle cell of prostate,CL:1000487,male,European,29-year-old human stage,273,0.9511532297400878
26,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,prostate gland microvascular endothelial cell,CL:2000059,male,European,29-year-old human stage,422,1.470280816667828
27,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,secretory cell,CL:0000151,male,European,31-year-old human stage,742,2.585185701344854
28,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,neuroendocrine cell,CL:0000165,male,European,31-year-old human stage,6,0.020904466587694237
29,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,leukocyte,CL:0000738,male,European,31-year-old human stage,25,0.08710194411539265
30,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,luminal cell of prostate epithelium,CL:0002340,male,European,31-year-old human stage,333,1.1601978956170302
31,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,basal cell of prostate epithelium,CL:0002341,male,European,31-year-old human stage,1263,4.400390216709637
32,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,epithelial cell of urethra,CL:1000296,male,European,31-year-old human stage,676,2.3552365688802173
33,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,fibroblast of connective tissue of prostate,CL:1000299,male,European,31-year-old human stage,595,2.0730262699463453
34,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,smooth muscle cell of prostate,CL:1000487,male,European,31-year-old human stage,280,0.9755417740923977
35,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,prostate gland microvascular endothelial cell,CL:2000059,male,European,31-year-old human stage,602,2.0974148142986553
