,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,T cell,CL:0000084,female,European,59-year-old human stage,29,0.10743128102541305
1,Tabula Sapiens - All Cells,mast cell,CL:0000097,female,European,59-year-old human stage,51,0.18893087352745055
2,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,female,European,59-year-old human stage,265,0.9816996369563606
3,Tabula Sapiens - All Cells,type B pancreatic cell,CL:0000169,female,European,59-year-old human stage,82,0.3037712084166852
4,Tabula Sapiens - All Cells,pancreatic A cell,CL:0000171,female,European,59-year-old human stage,71,0.26302141216566644
5,Tabula Sapiens - All Cells,pancreatic D cell,CL:0000173,female,European,59-year-old human stage,9,0.033340742387197156
6,Tabula Sapiens - All Cells,B cell,CL:0000236,female,European,59-year-old human stage,119,0.44083870489738464
7,Tabula Sapiens - All Cells,myeloid cell,CL:0000763,female,European,59-year-old human stage,85,0.3148847892124176
8,Tabula Sapiens - All Cells,pancreatic acinar cell,CL:0002064,female,European,59-year-old human stage,4364,16.16655553085871
9,Tabula Sapiens - All Cells,pancreatic ductal cell,CL:0002079,female,European,59-year-old human stage,1613,5.975401941172112
10,Tabula Sapiens - All Cells,pancreatic PP cell,CL:0002275,female,European,59-year-old human stage,71,0.26302141216566644
11,Tabula Sapiens - All Cells,pancreatic stellate cell,CL:0002410,female,European,59-year-old human stage,39,0.144476550344521
12,Tabula Sapiens - All Cells,fibroblast,CL:0000057,male,Hispanic or Latin American,37-year-old human stage,47,0.17411276579980736
13,Tabula Sapiens - All Cells,T cell,CL:0000084,male,Hispanic or Latin American,37-year-old human stage,544,2.0152626509594724
14,Tabula Sapiens - All Cells,mast cell,CL:0000097,male,Hispanic or Latin American,37-year-old human stage,2,0.00740905386382159
15,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,male,Hispanic or Latin American,37-year-old human stage,1835,6.797806920056308
16,Tabula Sapiens - All Cells,type B pancreatic cell,CL:0000169,male,Hispanic or Latin American,37-year-old human stage,17,0.06297695784248351
17,Tabula Sapiens - All Cells,B cell,CL:0000236,male,Hispanic or Latin American,37-year-old human stage,25,0.09261317329776989
18,Tabula Sapiens - All Cells,myeloid cell,CL:0000763,male,Hispanic or Latin American,37-year-old human stage,1777,6.5829443580054825
19,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,Hispanic or Latin American,37-year-old human stage,63,0.23338519671038008
20,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,male,Hispanic or Latin American,37-year-old human stage,47,0.17411276579980736
21,Tabula Sapiens - All Cells,pancreatic acinar cell,CL:0002064,male,Hispanic or Latin American,37-year-old human stage,1170,4.33429651033563
22,Tabula Sapiens - All Cells,pancreatic ductal cell,CL:0002079,male,Hispanic or Latin American,37-year-old human stage,818,3.0303030303030303
23,Tabula Sapiens - All Cells,pancreatic stellate cell,CL:0002410,male,Hispanic or Latin American,37-year-old human stage,354,1.3114025338964215
24,Tabula Sapiens - All Cells,T cell,CL:0000084,female,European,59-year-old human stage,28,0.10372675409350227
25,Tabula Sapiens - All Cells,mast cell,CL:0000097,female,European,59-year-old human stage,51,0.18893087352745055
26,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,female,European,59-year-old human stage,173,0.6408831592205675
27,Tabula Sapiens - All Cells,type B pancreatic cell,CL:0000169,female,European,59-year-old human stage,11,0.040749796251018745
