,cell_type,sex,race,count,percentage
0,fibroblast,female,European,3,1.2096774193548387
1,T cell,female,European,65,26.209677419354836
2,endothelial cell,female,European,4,1.6129032258064515
3,microglial cell,female,European,17,6.854838709677419
4,macrophage,female,European,3,1.2096774193548387
5,B cell,female,European,11,4.435483870967742
6,dendritic cell,female,European,20,8.064516129032258
7,stromal cell,female,European,107,43.145161290322584
8,monocyte,female,European,1,0.4032258064516129
9,"CD4-positive, alpha-beta T cell",female,European,3,1.2096774193548387
10,"CD8-positive, alpha-beta T cell",female,European,3,1.2096774193548387
11,retinal bipolar neuron,female,European,1,0.4032258064516129
12,erythroid lineage cell,female,European,2,0.8064516129032258
13,plasma cell,female,European,2,0.8064516129032258
14,keratocyte,female,European,4,1.6129032258064515
15,Muller cell,female,European,1,0.4032258064516129
16,conjunctival epithelial cell,female,European,1,0.4032258064516129
