,cell_type,sex,race,count,percentage
0,fibroblast,female,European,241,0.4199923320902025
1,blood vessel endothelial cell,female,European,929,1.6189745913352618
2,myofibroblast cell,female,European,200,0.34854135443170337
3,smooth muscle cell,female,European,1017,1.7723327872852115
4,pericyte cell,female,European,669,1.1658708305740477
5,endothelial cell of lymphatic vessel,female,European,49,0.08539263183576731
6,fibroblast,female,European,492,0.8574117319019902
7,blood vessel endothelial cell,female,European,50,0.08713533860792584
8,myofibroblast cell,female,European,420,0.7319368443065769
9,smooth muscle cell,female,European,56,0.09759157924087693
10,pericyte cell,female,European,13,0.022655188038060717
11,endothelial cell of lymphatic vessel,female,European,244,0.42522045240667805
12,fibroblast,female,European,426,0.7423930849395282
13,blood vessel endothelial cell,female,European,441,0.7685336865219058
14,myofibroblast cell,female,European,1673,2.915548429821198
15,smooth muscle cell,female,European,521,0.9079502282945872
16,pericyte cell,female,European,350,0.6099473702554808
17,endothelial cell of lymphatic vessel,female,European,56,0.09759157924087693
18,fibroblast,female,European,492,0.8574117319019902
19,blood vessel endothelial cell,female,European,50,0.08713533860792584
20,myofibroblast cell,female,European,420,0.7319368443065769
21,smooth muscle cell,female,European,56,0.09759157924087693
22,pericyte cell,female,European,13,0.022655188038060717
23,endothelial cell of lymphatic vessel,female,European,244,0.42522045240667805
24,fibroblast,female,European,241,0.4199923320902025
25,blood vessel endothelial cell,female,European,929,1.6189745913352618
26,myofibroblast cell,female,European,200,0.34854135443170337
27,smooth muscle cell,female,European,1017,1.7723327872852115
28,pericyte cell,female,European,669,1.1658708305740477
29,endothelial cell of lymphatic vessel,female,European,49,0.08539263183576731
30,fibroblast,female,European,426,0.7423930849395282
31,blood vessel endothelial cell,female,European,441,0.7685336865219058
32,myofibroblast cell,female,European,1673,2.915548429821198
33,smooth muscle cell,female,European,521,0.9079502282945872
34,pericyte cell,female,European,350,0.6099473702554808
35,endothelial cell of lymphatic vessel,female,European,56,0.09759157924087693
36,fibroblast,female,European,230,0.40082255759645885
37,blood vessel endothelial cell,female,European,200,0.34854135443170337
38,myofibroblast cell,female,European,1730,3.0148827158342337
39,smooth muscle cell,female,European,32,0.055766616709072535
40,pericyte cell,female,European,43,0.07493639120281621
41,endothelial cell of lymphatic vessel,female,European,57,0.09933428601303544
42,fibroblast,female,European,230,0.40082255759645885
43,blood vessel endothelial cell,female,European,200,0.34854135443170337
44,myofibroblast cell,female,European,1730,3.0148827158342337
45,smooth muscle cell,female,European,32,0.055766616709072535
46,pericyte cell,female,European,43,0.07493639120281621
47,endothelial cell of lymphatic vessel,female,European,57,0.09933428601303544
48,fibroblast,female,European,440,0.7667909797497473
49,blood vessel endothelial cell,female,European,230,0.40082255759645885
50,myofibroblast cell,female,European,1907,3.3233418145062914
51,smooth muscle cell,female,European,35,0.06099473702554808
52,pericyte cell,female,European,25,0.04356766930396292
53,endothelial cell of lymphatic vessel,female,European,213,0.3711965424697641
54,fibroblast,female,European,1495,2.6053466243769825
55,blood vessel endothelial cell,female,European,21,0.03659684221532885
56,myofibroblast cell,female,European,1744,3.039280610644453
57,smooth muscle cell,female,European,15,0.02614060158237775
58,pericyte cell,female,European,2,0.0034854135443170334
59,endothelial cell of lymphatic vessel,female,European,1107,1.9291763967794777
60,fibroblast,female,European,166,0.28928932417831377
61,blood vessel endothelial cell,female,European,45,0.07842180474713324
62,myofibroblast cell,female,European,449,0.7824753406991739
63,smooth muscle cell,female,European,12,0.0209124812659022
64,pericyte cell,female,European,17,0.029626015126694782
65,endothelial cell of lymphatic vessel,female,European,99,0.17252797044369314
66,fibroblast,female,European,1495,2.6053466243769825
67,blood vessel endothelial cell,female,European,21,0.03659684221532885
68,myofibroblast cell,female,European,1744,3.039280610644453
69,smooth muscle cell,female,European,15,0.02614060158237775
70,pericyte cell,female,European,2,0.0034854135443170334
71,endothelial cell of lymphatic vessel,female,European,1107,1.9291763967794777
72,fibroblast,female,European,440,0.7667909797497473
73,blood vessel endothelial cell,female,European,230,0.40082255759645885
74,myofibroblast cell,female,European,1907,3.3233418145062914
75,smooth muscle cell,female,European,35,0.06099473702554808
76,pericyte cell,female,European,25,0.04356766930396292
77,endothelial cell of lymphatic vessel,female,European,213,0.3711965424697641
78,fibroblast,female,European,166,0.28928932417831377
79,blood vessel endothelial cell,female,European,45,0.07842180474713324
80,myofibroblast cell,female,European,449,0.7824753406991739
81,smooth muscle cell,female,European,12,0.0209124812659022
82,pericyte cell,female,European,17,0.029626015126694782
83,endothelial cell of lymphatic vessel,female,European,99,0.17252797044369314
84,fibroblast,female,European,480,0.836499250636088
85,blood vessel endothelial cell,female,European,1612,2.8092433167195288
86,myofibroblast cell,female,European,375,0.6535150395594438
87,smooth muscle cell,female,European,1574,2.7430204593775054
88,pericyte cell,female,European,777,1.3540831619671674
89,endothelial cell of lymphatic vessel,female,European,54,0.0941061656965599
90,fibroblast,female,European,1343,2.3404551950088877
91,blood vessel endothelial cell,female,European,193,0.3363424070265937
92,myofibroblast cell,female,European,1784,3.1089888815307933
93,smooth muscle cell,female,European,203,0.3537694747481789
94,pericyte cell,female,European,35,0.06099473702554808
95,endothelial cell of lymphatic vessel,female,European,469,0.8173294761423443
96,fibroblast,female,European,244,0.42522045240667805
97,blood vessel endothelial cell,female,European,264,0.4600745878498484
98,myofibroblast cell,female,European,698,1.2164093269666447
99,smooth muscle cell,female,European,209,0.36422571538112997
100,pericyte cell,female,European,155,0.2701195496845701
101,endothelial cell of lymphatic vessel,female,European,61,0.10630511310166951
102,fibroblast,female,European,1343,2.3404551950088877
103,blood vessel endothelial cell,female,European,193,0.3363424070265937
104,myofibroblast cell,female,European,1784,3.1089888815307933
105,smooth muscle cell,female,European,203,0.3537694747481789
106,pericyte cell,female,European,35,0.06099473702554808
107,endothelial cell of lymphatic vessel,female,European,469,0.8173294761423443
108,fibroblast,female,European,480,0.836499250636088
109,blood vessel endothelial cell,female,European,1612,2.8092433167195288
110,myofibroblast cell,female,European,375,0.6535150395594438
111,smooth muscle cell,female,European,1574,2.7430204593775054
112,pericyte cell,female,European,777,1.3540831619671674
113,endothelial cell of lymphatic vessel,female,European,54,0.0941061656965599
114,fibroblast,female,European,244,0.42522045240667805
115,blood vessel endothelial cell,female,European,264,0.4600745878498484
116,myofibroblast cell,female,European,698,1.2164093269666447
117,smooth muscle cell,female,European,209,0.36422571538112997
118,pericyte cell,female,European,155,0.2701195496845701
119,endothelial cell of lymphatic vessel,female,European,61,0.10630511310166951
