,cell_type,sex,race,count,percentage
0,fibroblast,female,European,241,0.20171415179617663
1,ciliated epithelial cell,female,European,352,0.2946198399678596
2,blood vessel endothelial cell,female,European,929,0.777562020824266
3,mast cell,female,European,274,0.2293347617931635
4,secretory cell,female,European,3877,3.245003180555091
5,myofibroblast cell,female,European,200,0.1673976363453748
6,smooth muscle cell,female,European,1017,0.8512169808162308
7,macrophage,female,European,217,0.18162643543473167
8,B cell,female,European,3,0.002510964545180622
9,pericyte cell,female,European,669,0.5599450935752788
10,mature NK T cell,female,European,192,0.1607017308915598
11,endothelial cell of lymphatic vessel,female,European,49,0.04101242090461683
12,fibroblast,female,European,492,0.41179818540962204
13,ciliated epithelial cell,female,European,66,0.05524121999397368
14,blood vessel endothelial cell,female,European,50,0.0418494090863437
15,mast cell,female,European,49,0.04101242090461683
16,secretory cell,female,European,200,0.1673976363453748
17,myofibroblast cell,female,European,420,0.3515350363252871
18,smooth muscle cell,female,European,56,0.04687133817670495
19,macrophage,female,European,280,0.2343566908835247
20,B cell,female,European,23,0.0192507281797181
21,pericyte cell,female,European,13,0.010880846362449362
22,mature NK T cell,female,European,287,0.24021560815561285
23,endothelial cell of lymphatic vessel,female,European,244,0.20422511634135726
24,fibroblast,female,European,426,0.35655696541564835
25,ciliated epithelial cell,female,European,37,0.03096856272389434
26,blood vessel endothelial cell,female,European,441,0.3691117881415515
27,mast cell,female,European,12,0.010043858180722488
28,secretory cell,female,European,666,0.5574341290300981
29,myofibroblast cell,female,European,1673,1.4002812280290604
30,smooth muscle cell,female,European,521,0.4360708426797014
31,macrophage,female,European,131,0.10964545180622048
32,B cell,female,European,34,0.028457598178713718
33,pericyte cell,female,European,350,0.29294586360440594
34,mature NK T cell,female,European,554,0.46369145267668815
35,endothelial cell of lymphatic vessel,female,European,56,0.04687133817670495
36,fibroblast,female,European,492,0.41179818540962204
37,ciliated epithelial cell,female,European,66,0.05524121999397368
38,blood vessel endothelial cell,female,European,50,0.0418494090863437
39,mast cell,female,European,49,0.04101242090461683
40,secretory cell,female,European,200,0.1673976363453748
41,myofibroblast cell,female,European,420,0.3515350363252871
42,smooth muscle cell,female,European,56,0.04687133817670495
43,macrophage,female,European,280,0.2343566908835247
44,B cell,female,European,23,0.0192507281797181
45,pericyte cell,female,European,13,0.010880846362449362
46,mature NK T cell,female,European,287,0.24021560815561285
47,endothelial cell of lymphatic vessel,female,European,244,0.20422511634135726
48,fibroblast,female,European,241,0.20171415179617663
49,ciliated epithelial cell,female,European,352,0.2946198399678596
50,blood vessel endothelial cell,female,European,929,0.777562020824266
51,mast cell,female,European,274,0.2293347617931635
52,secretory cell,female,European,3877,3.245003180555091
53,myofibroblast cell,female,European,200,0.1673976363453748
54,smooth muscle cell,female,European,1017,0.8512169808162308
55,macrophage,female,European,217,0.18162643543473167
56,B cell,female,European,3,0.002510964545180622
57,pericyte cell,female,European,669,0.5599450935752788
58,mature NK T cell,female,European,192,0.1607017308915598
59,endothelial cell of lymphatic vessel,female,European,49,0.04101242090461683
60,fibroblast,female,European,426,0.35655696541564835
61,ciliated epithelial cell,female,European,37,0.03096856272389434
62,blood vessel endothelial cell,female,European,441,0.3691117881415515
63,mast cell,female,European,12,0.010043858180722488
64,secretory cell,female,European,666,0.5574341290300981
65,myofibroblast cell,female,European,1673,1.4002812280290604
66,smooth muscle cell,female,European,521,0.4360708426797014
67,macrophage,female,European,131,0.10964545180622048
68,B cell,female,European,34,0.028457598178713718
69,pericyte cell,female,European,350,0.29294586360440594
70,mature NK T cell,female,European,554,0.46369145267668815
71,endothelial cell of lymphatic vessel,female,European,56,0.04687133817670495
72,fibroblast,female,European,230,0.19250728179718102
73,ciliated epithelial cell,female,European,288,0.24105259633733972
74,blood vessel endothelial cell,female,European,200,0.1673976363453748
75,mast cell,female,European,45,0.03766446817770933
76,secretory cell,female,European,283,0.23686765542870533
77,myofibroblast cell,female,European,1730,1.447989554387492
78,smooth muscle cell,female,European,32,0.026783621815259968
79,macrophage,female,European,1876,1.5701898289196154
80,B cell,female,European,4,0.003347952726907496
81,pericyte cell,female,European,43,0.035990491814255586
82,mature NK T cell,female,European,1772,1.4831430580200207
83,endothelial cell of lymphatic vessel,female,European,57,0.047708326358431814
84,fibroblast,female,European,230,0.19250728179718102
85,ciliated epithelial cell,female,European,288,0.24105259633733972
86,blood vessel endothelial cell,female,European,200,0.1673976363453748
87,mast cell,female,European,45,0.03766446817770933
88,secretory cell,female,European,283,0.23686765542870533
89,myofibroblast cell,female,European,1730,1.447989554387492
90,smooth muscle cell,female,European,32,0.026783621815259968
91,macrophage,female,European,1876,1.5701898289196154
92,B cell,female,European,4,0.003347952726907496
93,pericyte cell,female,European,43,0.035990491814255586
94,mature NK T cell,female,European,1772,1.4831430580200207
95,endothelial cell of lymphatic vessel,female,European,57,0.047708326358431814
96,fibroblast,female,European,440,0.3682747999598246
97,ciliated epithelial cell,female,European,1452,1.2153068398674212
98,blood vessel endothelial cell,female,European,230,0.19250728179718102
99,mast cell,female,European,328,0.27453212360641466
